Player
KA Pollard (West Indies)
BB McCullum (New Zealand)
CH Gayle (West Indies)
KP Pietersen (England)
SR Watson (Australia)
Shoaib Malik (Pakistan)
Shahid Afridi (Pakistan)
DJ Bravo (West Indies)
DJG Sammy (West Indies)
AD Russell (West Indies)
DR Smith (West Indies)
TM Dilshan (Sri Lanka)
SL Malinga (Sri Lanka)
KC Sangakkara (Sri Lanka)
DPMD Jayawardene (Sri Lanka)
AD Mathews (Sri Lanka)
BJ Haddin (Australia)
JM Anderson (England)
IR Bell (England)
Mohammad Hafeez (Pakistan)
Misbah-ul-Haq (Pakistan)
Younis Khan (Pakistan)
Wahab Riaz (Pakistan)
Mohammad Irfan (Pakistan)
Sohail Tanvir (Pakistan)
Sarfaraz Ahmed (Pakistan)
MN Samuels (West Indies)
B Lee (Australia)
Shakib Al Hasan (Bangladesh)
TT Bresnan (England)
RS Bopara (England)
MA Carberry (England)
Azhar Mahmood (England)
LJ Wright (England)
CJ Jordan (England)
JM Vince (England)
MM Ali (England)
JC tredwell (England)
BJ Hodge (Australia)
GB Hogg (Australia)
SW Tait (Australia)
James Allenby (Australia)
NM Hauritz (Australia)
S Badree (West Indies)
JO Holder (West Indies)
D Ramdin (West Indies)
LMP Simmons (West Indies)
GD Elliott (New Zealand)
JEC Franklin (New Zealand)
NLTC Perera (Sri Lanka)
BMAJ Mendis (Sri Lanka)
HDRL Thirimanne (Sri Lanka)
RE Levi (South Africa)
RJ Peterson (South Africa)
J Botha (South Africa)
Yasir Arafat (Pakistan)
Anwar Ali (Pakistan)
Ahmed Shehzad (Pakistan)
Azhar Ali (Pakistan)
Haris Sohail (Pakistan)
Umar Akmal (Pakistan)
Sohaib Maqsood (Pakistan)
Immad Wasim (Pakistan)
Junaid Khan (Pakistan)
Mohammad Rizwan (Pakistan)
K Akmal (Pakistan)
Saeed Ajmal (Pakistan)
PD Collingwood (England)
Fawad Alam (Pakistan)
Yasir Shah (Pakistan)
JW Dernbach (England)
SR Patel (England)
Ross Whiteley (England)
Andrew Gale (England)
Varun Chopra (England)
TS Mills (England)
OA Shah (England)
Benny Howell (England)
Peter Trego (England)
Boyd Rankin (England)
James Fuller (England)
AU Rashid (England)
Joshua Cobb (England)
Alex Wakely (England)
CS Delport (South Africa)
GH Bodi (South Africa)
ND McKenzie (South Africa)
B Laughlin (Australia)
Michael Beer (Australia)
BRM Taylor (Zimbabwe)
H Masakadza (Zimbabwe)
Kyle Jarvis (Zimbabwe)
CR Ervine (Zimbabwe)
E Chigumbura (Zimbabwe)
Tamim Iqbal (Bangladesh)
Soumya Sarkar (Bangladesh)
Mustafizur Rahman (Bangladesh)
Mushfiqur Rahim (Bangladesh)
Shariar Nafees (Bangladesh)
R Rampaul (West Indies)
Rayad Emrit (West Indies)
Akeal Hosein (West Indies)
KAJ Roach (West Indies)
JE Taylor (West Indies)
FH Edwards (West Indies)
S Chanderpaul (West Indies)
Kevon Cooper (West Indies)
SJ Benn (West Indies)
EMDY Munaweera (Sri Lanka)
CK Kapugedera (Sri Lanka)
Dushmantha Chameera (Sri Lanka)
LD Chandimal (Sri Lanka)
WU Tharanga (Sri Lanka)
BMAJ Mendis (Sri Lanka)
SMSM Senanayake (Sri Lanka)
KMDN Kulasekara (Sri Lanka)
JD Ryder (New Zealand)
Khalid Latif (Pakistan)
Shahzaib Hasan (Pakistan)
Sharjeel Khan (Pakistan)
Khurram Manzoor (Pakistan)
Asad Shafiq (Pakistan)
Ehsan Adil (Pakistan)
